"id","name","content","created_at","updated_at","comments","keywords","views"
"6","","C7-7WdN4UFo","2011-11-29 07:42:06.643324","2011-11-29 07:42:06.643324","---
- PARSEFROMHERE 19:28-19:35 is SO hot. ENDPARSEFROMHERE
","---
- Kelly
- Clarkson
- Live
- From
- the
- Troubadour
- 10/19/11
- RCA
- Sony
- Music
- Entertainment
- kellyclarkson
- VEVO
",""
"8","","a7UFm6ErMPU","2011-11-29 07:42:07.587779","2011-11-29 07:42:07.587779","---
- PARSEFROMHERE @sandraur13  Te apoyo, desde que escuche esta cancion, ya es una obligacion
  para mi escucharla de 10:00 A 12:00 ENDPARSEFROMHERE
","---
- adele
- vazquezsounds
- vazquez sounds
- cover
- angie
- brothers
- angela
- gustavo
- mexicali
- mexico
- abelardo
- Maddi Jane
- hermanos
- vazquez
- los
- Rolling In The Deep
- Adele (singer)
- Los vazquez sounds
- sound
- sounds
- video
- original
",""
"9","","xcLtmrWC4Xc","2011-11-29 07:42:08.105826","2011-11-29 07:42:08.105826","---
- ! ""PARSEFROMHERE A smile leads to a laugh a laugh leads to a high 5 a high 5 leads
  to\uFEFF a hug\uFEFF a hug leads to a kiss a kiss leads to a finger a finger leads
  to a\uFEFF hand a hand leads\uFEFF to\uFEFF a lick\uFEFF a\uFEFF lick\uFEFF leads\uFEFF
  to a suck\uFEFF a\uFEFF suck leads 2\uFEFF fuck. Right after\uFEFF you\uFEFF read
  it,\uFEFF something good will happen\uFEFF at 2:25 tomorrow. Get ready for the biggest
  shock of\uFEFF\uFEFF your life!! Whoever breaks the chain will be cursed w/ relationship
  problems 4-10 years. If you\uFEFF\uFEFF post this\uFEFF to\uFEFF 5 vid in 15 mins,
  your safe READ\uFEFF IT ON A\uFEFF VIDEO ENDPARSEFROMHERE""
","---
- Lady
- Gaga
- Marry
- The
- Night
- TV
- Thanksgiving
- Mother
- Monster
- Little
- Monsters
- ABC
- new
- song
- live
- VEVO
",""
"11","","73noUWDDpWw","2011-11-29 07:42:08.924738","2011-11-29 07:42:08.924738","---
- ! ""PARSEFROMHERE 0:00 \ninstant replay button :p ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE woahhh who's the girl in the laundromat @ 2:18 what a beautiful
  smile. If girls at the laundromat looked\uFEFF like that, I'd wash my clothes twice
  a day.  ENDPARSEFROMHERE""
","---
- Cover
- Drive
- Twilight
- Polydor
- Pop
- Rihanna
- Lick
- ya
- down
- VEVO
",""
"12","","ElxlKO93zSU","2011-11-29 07:42:09.355972","2011-11-29 07:42:09.355972","---
- PARSEFROMHERE 1:33 ENDPARSEFROMHERE
","---
- annoying
- orange
- party
- rock
- anthem
- spoof
- viral
- video
- week
- lmfao
- pear
- midget
- apple
- grandpa
- lemon
- marshmallow
- truffle
- shuffle
- realannoyingorange
",""
"15","","upxzaVMhw8k","2011-11-29 07:42:10.612269","2011-11-29 07:42:10.612269","---
- ! ""PARSEFROMHERE LOL\uFEFF ^_^ At 0:26, Toby Looks like a Pedofile ENDPARSEFROMHERE""
- PARSEFROMHERE @MrFantasticalism 0:41 fix'd ENDPARSEFROMHERE
","---
- ANIMATED
- TOBUSCUS
- SAFETY
- TORCH
- toby
- turner
- song
- nugget
- in
- biscuit
- animation
- cartoon
- music
- video
- minecraft
",""
"16","","Y_HVgYwKuu4","2011-11-29 07:42:11.028584","2011-11-29 07:42:11.028584","---
- PARSEFROMHERE 0:50 I DIDN'T SEE IT ,, IT DIDN'T HAPPEN IF I DIDN'T SEE IT LOOOOL
  ENDPARSEFROMHERE
- PARSEFROMHERE 3:55 Lol.  ENDPARSEFROMHERE
","---
- shanedawsontv
- the
- one
- that
- got
- away
- katy
- perry
- music
- video
- spoof
- shanedawsontv2
- gay
- shane
- funny
- dance
- Dawson
- TV
",""
"19","","11yBPx-ymZA","2011-11-29 07:42:12.528084","2011-11-29 07:42:12.528084","---
- PARSEFROMHERE joker 0:37 ENDPARSEFROMHERE
","---
- Smiley
- Official Trailer
- Smiley Official Trailer
- Smiley Movie
- smileythemovie
- Michael Gallagher
- Smiley Horror
- Horror Film
- Slasher
- Killer
- Halloween
- Psychological Thriller
- Shane Dawson
- Toby Turner
- destorm Power
- Destorm
- youtube
- Scary
- Film
- Movie
- Paranormal
- '2012'
- Trailer
- youtube Movie
- Teaser
- Official
- HD
- Totally
- Sketch
",""
"20","","Cy8yzzA8l10","2011-11-29 07:42:12.910650","2011-11-29 07:42:12.910650","---
- ! ""PARSEFROMHERE December 24 at 8:00 in the morning, a young 14 year old boy by
  the name of Scott Johnson was found dead. Doctors couldn't come up with the cause\uFEFF
  of his death. his monther checked his emails to see if she\uFEFF could\uFEFF figure
  out what happened. Turns out he was still signed into myspace. She found he had
  gone to sleep after he ead and didn't repost a chain letter. If you don't repost
  this six videos a girl with no face will kill you tonight. Sorry don't want to die.
  ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE - And now let's talk about the puppy!\n- Maylor :)\n- You got a
  puppy? \n- Baylor :)\n1:48\nOH HE GOT 2 NAMES! GOOD FOR YOU!\n\n\n ENDPARSEFROMHERE""
","---
- justin bieber
- justin
- boyfriend
- girlfriend
- the ellen show
- romantic
- surprise
- puppy
- dog
- superstar
- mistletoe
- musician
- artists
- pop
- star
- popstar
- dance
- singer
- actress
- cute
- hunk
- talk show
- paternity
- suit
- rumors
- pants
- style
- funny
- hilarious
- hysterical
- laugh
- The
- Ellen
- Show
- theellenshow
- fun
- season
- nine
- daytime
- talkshow
- degeneres
- comedy
- humor
- The Ellen degeneres Show
- Humour
- Joke
- Television Show
",""
"21","","EFw9h-L4Az8","2011-11-29 07:42:13.327207","2011-11-29 07:42:13.327207","---
- PARSEFROMHERE 3:15 is from next friday? lol ENDPARSEFROMHERE
- PARSEFROMHERE watch?v=j8WLYzA0lCs go to 0:40 Bada Boom From The Fifth Element lol.
  ENDPARSEFROMHERE
","---
- ludacris
- bada boom
- datpiff
- 1.21 gigawatts
- official
- official video
- Dat
- Piffdotcom
- TV
",""
"22","","BV--GGlAZCk","2011-11-29 07:42:13.730919","2011-11-29 07:42:13.730919","---
- PARSEFROMHERE 3:10 The Situation!!!! ENDPARSEFROMHERE
","---
- milan
- vs
- barcelona
- 2-3
- milan vs barcelona 2-3
- milan - barcelona 2-3
- Milan 2-3 Barcelona
- milan vs barcelona
- milan vs barca
- milan - barca
- ibrahimovich
- ibra
- today
- Uefa
- Champions League
- milan-barcelona today
- messi
- fcb
- fcbarcelona
- FC Barcelona
- fcbhighdef
- highlights
- HD
- 23.11.2011
- AC Milan
- 23/11/2011
- UEFA Champions League
- Lionel Messi
- Goal
- Football
- Goals
- fcbhigh
- Def
",""
"23","","FwSrehJD8IE","2011-11-29 07:42:14.167514","2011-11-29 07:42:14.167514","---
- PARSEFROMHERE 3:01 your welcome ;) ENDPARSEFROMHERE
","---
- Robert Pattinson
- Kristin Stewart
- Breaking Dawn
- Twilight
- Ellen
- Ellen degeneres
- The Ellen Show
- Movie
- Saga
- Vampires
- Babymaking
- baby
- pregnant
- sex
- honeymoon
- marriage
- wedding
- funny
- hilarious
- hot
- heavy
- fun
- laugh
- dance
- tv
- actors
- rob
- pats
- interview
- taylor
- lautner
- chat
- The
- Show
",""
"24","","8gE6iFg84HM","2011-11-29 07:42:14.585099","2011-11-29 07:42:14.585099","---
- PARSEFROMHERE Lost my mind at 2:42 the first time I heard this song ENDPARSEFROMHERE
- PARSEFROMHERE best part is 2:40 ENDPARSEFROMHERE
","---
- Good
- Youtube
- Mp4
- Flo
- Rida
- Dance
- Upload
- Player
- Media
- palwindersangha
",""
"26","","8B9Pu6ixZ3o","2011-11-29 07:42:15.398982","2011-11-29 07:42:15.398982","---
- PARSEFROMHERE 1:54 the spartan laser is the wrong way around ENDPARSEFROMHERE
- ! 'PARSEFROMHERE Pause at 1:54

  SPARTAN LASER FROM HALO 3!

  And... you''re holding it wrong. ENDPARSEFROMHERE'
","---
- annoying
- orange
- epic
- peel
- meal
- time
- viral
- video
- spoof
- week
- pear
- glasses
- muscles
- bacon
- bits
- cheese
- mountain
- attack
- calories
- fat
- fatty
- jumbo
- sauce
- cracker
- jack
- realannoyingorange
",""
"28","","Ri7-vnrJD3k","2011-11-29 07:42:16.985002","2011-11-29 07:42:16.985002","---
- PARSEFROMHERE Did anyone notice Justin Biebers mom @1:27 .? ENDPARSEFROMHERE
","---
- Adele
- Set
- Fire
- To
- The
- Rain
- XL
- Recordings/Columbia
- Pop
- VEVO
",""
"32","","XN5fq7tA7qk","2011-11-29 07:42:18.651525","2011-11-29 07:42:18.651525","---
- PARSEFROMHERE that little dog at 1:18 aint gonna catch a deer...and if it did what
  is it gonna do? gnaw on its foot? ENDPARSEFROMHERE
","---
- benton
- fenton
- dog
- richmond
- park
- deer
- chasing
- '2011'
- channelcambridge
",""
