video,timecode
8pBIh57KS2I,1:22
fyPEV3NJxbY,1:28
oPJpbyojiL0,0:17
c8FtknPdV-Q,07:18 10:10
qOW2eEz9cYk,1:20
xOrRzLUGyJI,0:29
sFGAusUUP14,0:23
mjdvuGsI1gM,12:20
ByHrWGXSNsI,1:40
JppFzPqSvX4,0:15
myMPdoP4Ms0,0:46
GS_rvl69As8,0:52
brGhO6ZfBjo,0:36
C1VLzD6UeKc,17:35
wWCYUyFiOFs,4:38
u6XAPnuFjJc,6:03
7tTRVDkEXVE,5:20
kLtlVxBnpf8,17:48
WAc48jMHyoY,10:03
D6Zlo-jzk_Q,9:00
A4cPKPhkxi0,6:02
ZbrTC6ITbA4,0:33
y2obNe2HoFU,12:12
7XSnXb7dBYg,03:37
uiWxAY3_FmU,20:37
GI6CfKcMhjY,2:22
uTAAlzABzBA,8:35
cD9WYm1uoBc,16:51
HBAboIBJN8k,13:24 13:36
ZbeoRK9r07Y,3:48
AAPY9SIzBmk,1:26
8fxK48Cey0Y,2:05-2:33
bL7hQqyqZhM,11:43
O6X9YTLof_I,6:59
HA6pJ7oUH3U,0:06
ud4YnLT1vWk,0:03
6v21ZCUST0k,0:43
x-W44YcsXMs,11:15
2XOxXXTRDyA,22:33
V6yRrquBUiY,3:10
oVZSAfCJsys,16:45
H5a1js8FzsA,0:25
c7wfWihWv08,0:58 1:03
YjP3fT9xn3Y,13:37
qF37naF3FLI,12:49
oVFxHX6RWzc,1:25
esJHzs8glZo,34:10
j81g34-bvNI,2:25
vWCrbW533xk,3:17
2XLzyoco9Ts,3:25
CojQ9fOT8ys,4:09
53bAndZgmpY,3:32
53WfGgiFbEs,13:37
UKq2Or6-R5Y,0:24
pNQCaAykNJU,7:37
ndJ_cKvQJjw,0:35
3PUWOeHb-eg,7:15
MRx7Ofet30s,8:40
4HQ10INKJBw,17:57
CodOK027CvA,1:44
1fJhauF_0ZE,1:23
vWRd3Bn3OF0,16:10 16:9
fkBvcl_FZbY,00:01
BwX-_ft5Ieg,2:26
hUhMmQTyNSc,46:34
st1DAdsCn2w,04:45
tmPMI85HHgU,3:22
IxXVVOdax2E,0:04
pNM_TY_rRYQ,0:01
OB1_1k7PV9E,4:08
Khte62YSzS0,4:40
JpVIdfNaWAE,7:06
qFR4zejL-N4,10:31
q9uA_dBtYCk,6:10
vWNXJ2vnW0Y,5:10
9YFFrkyATww,10:55
hUXFQ_XR_fg,2:08
wOFFiwhuE4o,8:13
fkbzHT_wKrk,2:37
jEknqjgU5iU,4:27
c7_1ONvZzJc,4:12
xGcE0Uik3qE,13:27
mlAZ0qnmMLY,0:32
EYluzWCPNrc,2:53
VDBkcOv_tOQ,4:04
wOX0cLe5pqQ,0:26
cDqLPrvowLI,12:15
DghD5UWJyGw,11:58
NJ6bzWaEYmg,0:47
VDEgDvjDxNw,1:43
Wy8rDnfC__A,5:50
zukADC2yDSA,05:25
